,tweet_RER_C,heure_du_tweet
251,"30 min de bouchon . en plus j ’ ai dû passer par des petites routes skinny avec le big camtar , 1h de route av …",2020-12-07 19:24:46
252,usagersidf transilien …,2020-12-07 19:17:18
253,"le découpage de la poutre tombée sur les rails du rer c a débuté ce lundi , le chantier mobilise près de 150 perso …",2020-12-07 17:53:53
254,des vidéos et photos du sciage et levage de la poutre tombée sur les voies du rer c . dont 2 grues kirow .…,2020-12-07 17:04:36
255,les rer c c ’ est de la chiasse 20 min d ’ attende . fuck epinay . rt uzuraa,2020-12-07 16:48:28
256,azii le rer b c ’ est une glr,2020-12-07 16:45:57
257,j ’ avais oublié ce que ça faisait de prendre le rer e . 17h35 et c ’ est un train court .,2020-12-07 16:36:06
258,la piste cyclable qui disparait devant l ' entrée du rer c à massy - palaiseau …,2020-12-07 16:22:40
259,images . chute d ' une poutre sur les voies du rerc à paris : les voies dégagées en milieu de semaine via,2020-12-07 16:10:49
260,jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …,2020-12-07 15:55:13
261,le trafic sera t ’ il rétabli rer c le 14 décembre ? merci de votre réponse .,2020-12-07 15:17:35
262,le rer v est une excellente idée qui aurait déjà marinée d ’ être e …,2020-12-07 15:14:40
263,"ams c ’ est vrai que c ’ est triste pour les commerces qui ferment sah force à eux , mais bon c ’ est mieux de subir …",2020-12-07 14:57:26
264,"dernier jour du beforecdg3 , on atteint 405 , 30 € !!! ️ soirée full fps avec du paladins , valorant et du overwatch …",2020-12-07 14:04:24
265,c ’ est sûr que c ’ est pas les roumaines du rer à,2020-12-07 13:51:48
266,rer d comme démon c ’ est la ligne du diable frérot,2020-12-09 09:47:26
267,pas trop de risque pour l ’ usager à mettre en concurrence les lignes de trams de la sncf en idf dès 2023 . ce sont de …,2020-12-09 09:40:17
268,sncf non le rer c ne part pas de la voie 6 et c ' était un transilien . je le prends tous les jour et mo …,2020-12-09 09:30:43
269,"bonjour , le train que vous avez vu partir est très certainement un rer c . le …",2020-12-09 09:16:34
270,rer b et d c ' est clairement les portes des enfers !!!!,2020-12-09 09:02:59
271,a une époque moi et raf on faisait souvent saint denis - savigny en rer d en pleins été on se mettait en …,2020-12-09 08:40:18
272,ce rer c ’ st la cour des miracles,2020-12-09 08:33:19
273,ⓒ - conditions non réunies pour départ rer c austerlitz : suppressions ☞ entr …,2020-12-09 08:33:01
274,,2020-12-09 08:32:14
275,"il est à issy - les - moulineaux , il n ’ y a plus de rer c donc je me tape 1h40 de trajet pour qu ’ un prof de merde me …",2020-12-09 08:23:40
276,un jour j ’ ai fais epinay - sur - seine / choisy - le - roi en rer c .,2020-12-09 08:20:36
277,"paris : après la chute d ’ une poutre sur les voies , le rerc restera perturbé jusque mi - décembre . rt sophie sylvain1",2020-12-09 08:09:05
278,"paris : après la chute d ’ une poutre sur les voies , le rerc restera perturbé jusque mi - décembre .",2020-12-09 08:07:45
279,"sncf bonjour . dans l ’ application rer c , il est marqué « aucun train sur ce trajet dans l ’ immédiat » pour un t …",2020-12-09 07:57:47
280,"dalvai 40km c ’ est la distance que je fais ( fontenay sous bois / chatillon ), en brompton électrique , 1h porte …",2020-12-09 07:53:56
281,il dit ça comme si yavais pas le rer d et le c,2020-12-09 07:51:00
282,je ne travaille pas dans le 16eme je parle du métro je ne connais pas l …,2020-12-09 07:35:43
283,2 euros pour faire une station de rer . c ’ est de l ’ abus .,2020-12-09 07:32:14
284,[ c ’ était un 9 decembre 1977 ] cejourla inauguration officielle du rer ( réseau express régional ) par valéry giscard …,2020-12-09 06:55:02
285,a moi je dit c ’ est la clim aussi . impossible de sortir les mains des poches on s ’ en carrément l ’ air d …,2020-12-09 06:49:02
286,a mais je n ’ en pouvais plus ... je suis au bout là ! 1h après toujours la clim c ’ est une blague,2020-12-09 06:46:07
287,a pourquoi les écrans marquent train sans arrêt alors qu ' il s ' arrête ? c ' est pas la première fois que ça arriv …,2020-12-09 06:45:22
288,a c ' est 1551 . merci bonne journée,2020-12-09 06:06:20
289,"a moi j ' aurais dit c ' est la clim , il fait grave froid , je suis à la tête du train je peux vous dire c ' est très …",2020-12-09 05:44:24
290,lle a haha tout ca c ' est à cause du chomage !,2020-12-09 03:03:43
291,lambo7 c ’ est moi . ( nan je rigole en sah jamais je prend le rer pour aller la bas jamais,2020-12-09 01:19:09
292,ma parole en ce moment dubai c ’ est le châtelet les halles de paris .! tout le monde prends le rer pour y aller en fait,2020-12-09 00:25:38
293,"oui , j ' ai chu",2020-12-09 00:13:07
294,sympa le rer c 🥸,2020-12-08 23:45:18
295,"salam , ya un rer qui fait gare du nord - dubai ou c ’ est comment ?",2020-12-08 23:44:20
296,"les portes du rer ( c ' est le train mes mutus consanguins ) se ferment sur mon sac a dos , je force et m ' éclate devant …",2020-12-08 23:34:22
297,je dis pas en public . mais y a le rer qui passe juste dessous donc on l ' entend super bien car l ' immeub …,2020-12-08 22:04:54
298,evry à les ulis . ça prend 28 min par voiture mais 2h par train s ’ il y a aucune interruption . faut changer rer d -& gt ;…,2020-12-08 21:27:56
299,evry à les ulis . ça prend 28 min par voiture mais 2h par train sans interruption . faut changer rer d -& amp ; gt ; rer c -& amp ;…,2020-12-08 21:24:06
300,"bonsoir il n ’ y a ni accident , ni incident c ’ est le chantier de cdg qui commence à 21h et les responsables de …",2020-12-08 21:06:32
301,faut y aller à bfm et se taper toutes les arrêts du rer c ça reste loin,2020-12-08 19:40:29
302,le paris - melun avec le rer d pdt les grèves c ’ était affreux plus jamais vive le ter 25min carré rt asmarlequin,2020-12-08 19:08:41
303,le paris - melun avec le rer d pdt les grèves c ’ était affreux plus jamais vive le ter 25min carré,2020-12-08 19:07:15
304,pourquoi c ’ est toujours sur le rer d que y a des problèmes ?! ptn mais c ’ est fou quand même,2020-12-08 18:53:00
305,pour ma part je pense que c ’ était m ’ embrouiller dans tout un rer car j ’ étais contre la manif pour tou …,2020-12-08 18:31:19
306,y ’ a t ’ il un jour où le rer d ça fonctionne . ? en 2020 cette ligne c ’ est la pire sncf,2020-12-08 18:25:18
307,mais ceux qui me sorte des paris marseille ou londres on s ’ en blc . nous on a parlé de rer bus tram métro ter à la l …,2020-12-08 18:21:44
308,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre via parisien",2020-12-08 17:55:50
309,seigneur le froid qu ’ il fait dehors c ’ est sur à cergy tu sors du rer a il grêle là,2020-12-08 17:53:48
310,c ' est la grisette du canal saint - martin qui s ' est déplacée dans le couloir du changement rer châtelet - port …,2020-12-08 17:43:24
311,""" ohlala c ' est dur de prendre le rer "" grosse timpe , j ' ai dû prendre la a , b , c et d pour venir",2020-12-08 17:43:18
312,c ’ est long wsh deja 1h en rer après ca depend où aussi,2020-12-08 17:41:06
313,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …",2020-12-08 17:31:55
314,« pas de visibilité » sur la reprise du trafic pour le rer c,2020-12-08 17:23:18
315,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …",2020-12-08 17:14:45
316,le rer c me manque wah non troo nécessaire,2020-12-08 17:14:25
317,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …",2020-12-08 17:08:18
318,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre …",2020-12-08 17:05:49
319,« ça embête tout le monde » : toujours aucune date prévue pour la reprise du trafic entre juvisy et paris sur la li …,2020-12-08 17:03:07
320,si c ’ est pas le rer d c ’ est la ligne 14 qui bug et si c ’ est pas la 14 c ’ est la 13 wesh chaque ligne que le prend à un souci,2020-12-08 16:42:43
321,chantier hors normes pour dégager la poutre tombée sur les voies du rer c rt ffranouche,2020-12-08 16:41:17
322,le cm du rer a c ’ est le meilleur,2020-12-08 16:37:03
323,jvai dans le 91 y ’ a pas de rer c sa me soule,2020-12-08 16:33:20
324,la ligne 9 elle est sans fin .... t ’ as 12 kilomètres entre chèques stations c ’ est un rer,2020-12-08 16:17:27
325,ptdr encore heureux parce que je comptais archi pas respecter . c ’ est bon tu sors y a des gens sans masque dans la r …,2020-12-08 15:17:48
326,la circulation du rer c perturbée au moins jusqu ’ à mi - décembre,2020-12-08 15:13:32
327,a celui direction cergy le haut c ’ est un uzel on arrive à la défense,2020-12-08 15:08:41
328,""" rer c : une semaine après la chute de la poutre , « pas de visibilité » sur la reprise du trafic (…",2020-12-08 14:57:35
329,c ’ est combien de temps de trajet le rer qui fait châtelet - dubaï,2020-12-08 14:34:22
330,le meilleur rer c ’ est le a,2020-12-08 14:25:19
331,c ’ est bon le rer a c ’ est un malien on a enfin trouver son origine,2020-12-08 14:17:25
332,a c ' est un soninké le cm ?,2020-12-08 14:14:07
333,"2x20 , voire 2x25 ... les tec c ' est galère , j ' habite à 30 minutes à pieds de la gare , j ' ai failli per …",2020-12-08 14:04:43
334,le rer d c ’ est vraiment quelque chose y a un duo qui se roulent un joint sans pression en criant tout fort,2020-12-08 13:16:35
335,a c ’ est sans doute à l ’ ancienne en 2012 / 2013,2020-12-08 12:16:22
336,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:11:53
337,tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …,2020-12-08 12:10:48
338,je ss dans le rer a guetter je vois quoi ma pote elle a crus c ’ était des sabots,2020-12-08 11:57:59
339,le rer d il emmène en enfer je crois c ’ est terrible le monde,2020-12-11 15:16:34
340,"depuis le covid première fois je prends le rer . c ’ est incroyable genre , masque tout ça jai eu un appel j ’ ai tenue 2 …",2020-12-11 14:43:57
341,c ’ est qui qui a oublier son sac à main à la maison et qui vient de s ’ en rendre compte dans le rer ? c ’ est dydyyyyyy ! ‍️,2020-12-11 14:32:23
342,,2020-12-11 14:08:45
343,"des consignes à vélo veligo sont prévues dans ce secteur , de même qu ' à l ' autre station de la ligne 14 à saint - ouen …",2020-12-11 13:43:45
344,c ’ est toujours quand t ’ es en retard que le métro et rer se ferment et partent sous tes yeux . 2 fois de suite à attendre 6 min j ’ ai la haine,2020-12-11 13:23:06
345,"les transports c ' était trop trop puissant pour ça pour rappel à l ' époque j ' étais à evry , j …",2020-12-11 13:18:14
346,la responsabilité pèse sur la sncf si les travaux de modernisation sont moins sexy . les travaux sont …,2020-12-11 12:44:13
347,"putain , c ' est pas compliqué , le rer on se pose là où tout le monde à poser son cul , on touche tout ??? le musée on …",2020-12-11 12:33:13
348,"ouais t ’ as un grand carrefour pour tes courses et c ’ est bien desservi , après t ’ es à 35 min de paris en rer …",2020-12-11 12:16:34
349,samsoen placer la santé avant la culture c ' est de l …,2020-12-11 10:53:01
350,la sncf annonce une reprise du rer c ce lundi ️,2020-12-11 10:49:53
351,a a mon avis c ' est quelque chose qu ' il faudrait reprendre dans toute l ' ile de france et pas uniquement sur le rer a ...,2020-12-11 10:32:54
352,à rien p - ê sur un dreux ils vont équiper opti - conduite sur l ’ axe du rer c pontoise - massy & amp ; pour fonct …,2020-12-11 10:30:59
353,a c ’ est vrais que ces panneaux sont vraiment supers,2020-12-11 10:25:08
354,la poutre de 300 tonnes qui s ’ est écroulée le 1er décembre sur les voies du rer c entre les stations austerlitz et …,2020-12-11 09:59:52
355,poutre effondrée sur le rerc à paris : la sncf envisage une reprise du trafic lundi 14 décembre …,2020-12-11 09:42:17
356,poutre effondrée sur le rerc à paris : la sncf envisage une reprise du trafic lundi 14 décembre,2020-12-11 09:40:21
357,le rer c ' est l ' enfer a vos portes qui le supporte encore les maures apostrophes humour,2020-12-11 09:27:48
358,"a mon avis le temps de trajet par la ligne 14 est incorrect , il faut déjà 15 min de st lazare à olymp …",2020-12-11 09:11:29
359,"c est plus ke ds le cinéma , sa fait 2 semaines ke ns vivons cela depuis l incident d rer c à paris austerli …",2020-12-11 08:52:03
360,"une pensée pour tous les artistes , théâtres , intermittents , prestataires ... pour tout le monde du spectacle sans …",2020-12-11 08:37:28
361,une meuf dans le rer c ’ est faux cils sont plus long que mon avenir wshh quel bail,2020-12-11 08:33:31
362,loky sncf après je connais moins bien le rer c que le réseau psl . sur ps …,2020-12-11 08:29:05
363,"eole "" ce n ' est pas un chantier mais 10 en même temps » dixit dir d ' opération du secteur défense . c …",2020-12-11 08:28:12
364,"mais va bien te faire enculer le rer d . tous les jours , je dis bien tous les jours y a un truc . ça fait 1 semaine j …",2020-12-11 07:50:40
365,le rer est blindée comme s ' il y avait grève . c ' est fou . jpp,2020-12-11 07:46:08
366,"ce matin je suis parti avec 1 rer d ' avance pour mon partiel , et la c ' est comme si j ' avais un rer de retard c ' est quoi cette merde ?",2020-12-11 07:25:54
367,"sncf allez vs faire foutre ts autant que vs êtes ! quand est - ce que vs allez respecter les usagers ? d pannes , i …",2020-12-11 07:18:43
368,amis cyclistes usagés du rer b de ! n ' ayez plus plus peur pour votre beau vélo . abonnez - vous au pa …,2020-12-11 06:40:30
369,le rer b obligé c ’ est un capricorne . il est là il fait des phases alors qu ’ il est même pas encore 8h,2020-12-11 06:30:15
370,le sommeil c ’ est comme le rer tu le rate t ’ attend le prochain,2020-12-10 22:06:52
371,"a partir de lundi , le temps de trajet fond entre saint ouen et bibliothèque f mitterrand ! avec le rerc , le trajet …",2020-12-10 21:59:13
372,"sncf j ’ en suis ravie . tout reviendra à la normale très vite j ’ espère car j ’ ai beau aimer la ligne 8 , mon peti …",2020-12-10 20:36:17
373,je maudis le rer c ptn,2020-12-10 20:23:47
374,duval sncf c ' est surtout que …,2020-12-10 19:17:20
375,j ’ enchaîne les problèmes de rer c ’ est une malédictions,2020-12-10 18:35:15
376,si vous voyez une dinde qui pleure au rer le parc c ’ est moi,2020-12-10 18:04:55
377,"sans oublier , bien sûr , la porte de clichy , où seront réunis prochainement la ligne14 , le rer c et la petite ceint …",2020-12-10 17:54:25
378,"oh mokico ! c ' est un plaisir de vous revoir parmi nous . effectivement , ça fait un petit moment .…",2020-12-10 17:50:33
379,"hbt sncf ah , merci ! il serait donc moins cher de faire un direct en j que de …",2020-12-10 17:24:38
380,"j ’ en suis sure , la moitié des gens qui ont covid c ’ est a cause du rer d , la manière qu ’ il est plein la vraiment",2020-12-10 17:11:24
381,paris hidalgo …,2020-12-10 16:52:56
382,sncf c ’ est pas normal d ’ attendre 11 min un rer d aux heures de pointes ( 17h ) à châtelet ! honte à vous ! rt lochrisvlb,2020-12-10 16:41:58
383,paris hidalgo …,2020-12-10 16:52:56
384,sncf c ’ est pas normal d ’ attendre 11 min un rer d aux heures de pointes ( 17h ) à châtelet ! honte à vous ! rt lochrisvlb,2020-12-10 16:41:58
385,"est ce que mes larmes cool pcq je voulais sortir , prête tout et que le rer c ne roule pas ? oui .",2020-12-10 16:34:38
386,je sors une fois par semaine pour le babysitting et le rer a a toujours des problèmes c ’ est dingue .,2020-12-10 14:44:49
387,tout les jours y a un soucis avec le rer e c est grave,2020-12-10 14:41:40
388,j ’ ai fait persan - beaumont & gt ; brétigny sur orge aussi ehhh la d j ’ avais pris le dernier train de beauvais j …,2020-12-10 14:15:40
389,"il avait faire une crise de nerfs dans le rer blindé en fin de journée , il croyait que je fixais un boug alors que …",2020-12-10 14:02:44
390,️ images . chute d ' une poutre sur les voies du rerc à paris : les voies totalement dégagées rt actufrparis,2020-12-10 14:00:25
391,️ images . chute d ' une poutre sur les voies du rerc à paris : les voies totalement dégagées,2020-12-10 13:58:47
392,c ’ est les horaires du rer ou des indices le bail,2020-12-10 13:44:58
393,sncf bonjour avez vous une date de reprise du rer c de juvisy - sur - orge à bfm ? merci bonne journée,2020-12-10 13:20:31
394,massy côté gare rer c ’ est trop beau wesh le quartier atlantis la,2020-12-10 13:09:21
395,asselineau mais c ' est c ' est tout les jours et presque partout antony 92 rer b a 8h15 le quai est plein et le train arrive plein,2020-12-10 12:52:54
396,"bonne nouvelle pour les spinassiens de la ligne h et rer c , remboursement du passe navigo en cas de retards répétés …",2020-12-10 12:27:15
397,la poutre tombée sur les voies du rer c a été évacuée mobilité transport rt vrtmag,2020-12-10 11:27:11
398,la poutre tombée sur les voies du rer c a été évacuée,2020-12-10 11:25:32
399,"chasseaupatrimoine | la gare d ' epinay - sur - seine dessert la ligne c du rer depuis 1988 . depuis 2017 , la gare est …",2020-12-10 10:28:50
400,là vous voyez le résultat de problèmes sur le rer d alors qu ' il doit aussi prendre en ch …,2020-12-10 09:51:01
401,bonjour j prends souvent rer c de gare les ardoines mais acauses des accidents ya plus des train est …,2020-12-10 09:38:27
402,il fait bon vivre dans le rer c genre le climat est bon,2020-12-10 09:25:18
403,"non c ’ est pas le rer , ptdrrr horrible",2020-12-10 09:02:39
404,c ’ est un tweet ironique ? un rer en panne provoquant un attroupement de passagers sur un quai . en quoi …,2020-12-10 08:51:06
405,st remy rer …,2020-12-10 08:48:48
406,la vdm ya encore des problème sur le rer b c le train de l ' enfer jpp,2020-12-10 08:40:15
407,""" quelqu ' un sur twitter nous a dit que tout le monde glissait sur une plaque au bord de la voie dan …",2020-12-10 07:28:53
408,"t4 sncf bonjour , on doit prévoir combien de temps de retard pour le rer e , station gagny ?? et qu ' c ' est ce qui s ' est passé cette fois ?",2020-12-10 07:21:29
409,moiroud tu bosses sur le rer c maintenant ?,2020-12-10 07:11:27
410,mdr le rer d c ’ est un poison,2020-12-10 07:05:42
411,si chaque jours y ’ a pas un problème sur le rer d et b les gens meurent ou c ’ est comment vraiment courage ceux qui …,2020-12-10 07:04:52
412,"paris : après la chute d ’ une poutre sur les voies , le rer c restera perturbé jusque mi - décembre – le parisien …",2020-12-10 01:55:37
413,perl mdrrr oui mais c 20 - 30 minutes en rer wsh y ’ a bcp plus long,2020-12-10 01:48:18
414,incroyable c ' était le rer p ou q j ' crois toujours qu ' on s ' est foutue de ma gueule mais vu que j ' ai mis pl …,2020-12-10 00:52:10
415,igor il aime trop demander c ' est quand le dernier rer et puis quand c ' est le dernier rer commencer une partie d ' échecs sans timer,2020-12-10 00:22:47
416,en même temps faut bien équilibrer les contrôles des automobilistes parce que jusqu ' à maintenant c ' était …,2020-12-10 00:14:26
417,92 - saint - chéron ( près de dourdan terminus rer c ),2020-12-09 23:34:36
418,"j ' en peux plus je te jure , le rer c qui fonctionne pas le d de merde , heureusement que j ' ai plusieurs …",2020-12-09 21:11:11
419,le rer c j ’ espère il reprend du service bientôt ..,2020-12-09 21:06:59
420,"javoue c chaud mais jte jure le rer d c ’ est une mort brutale mais dont tu renais , le distanciel c ’ est une longue agonie",2020-12-09 21:05:09
421,"bonjour , je vous ai envoyé un message privé avec les informations demandées voilà déjà un …",2020-12-09 21:00:00
422,allooo hidalgo et . depuis plusieurs jours la ligne c du rer est coupée . venez tester …,2020-12-09 20:47:48
423,"a officiel c ' est la clim , même à l ' extérieur , il ne faisait pas aussi froid .",2020-12-09 20:43:30
424,dis pas ça meuf la jdonnerai toute mon âme pour reprendre le rer et être en présentiel vraiment,2020-12-09 20:34:52
425,usagersidf rerb …,2020-12-09 19:57:53
426,et c ' est bondé comme ça le rer a tous les jours .,2020-12-09 19:52:31
427,pourquoi la poutre est tombée sur les voies du rer c rt un diop,2020-12-09 19:45:04
428,quand je vois les problèmes de rer d la ... la dernière fois que je l ’ ai pris c ’ était en juillet ou août je suis bi …,2020-12-09 19:41:08
429,mais il faut vraiment qu ’ ils songent à couper le rer c pack dès qu ’ il y a une panne c ’ est trop la merde .,2020-12-09 19:35:39
430,ça va l ' être moins encore pour les grandes lignes que pour le rer c …,2020-12-09 19:32:13
431,rediff « pas de visibilité » sur la reprise du trafic pour le rer c,2020-12-09 19:06:18
432,sncf vous pensez que le trafic sera rétabli la semaine prochaine ? pour les usagers de la ligne sud c ' est une …,2020-12-09 19:02:19
433,vivement que le rer c revienne à la normale je déteste le rer d,2020-12-09 19:00:15
434,"le rer d c ’ est vraiment nimp , j ’ ai quitté le taff à 17h , je viens à peine d ’ arriver chez moi . on est resté pendant …",2020-12-09 18:49:00
435,en rer c ’ est chaud mdrrr on dirait qu ’ il traverse le périph de st denis à paris,2020-12-09 18:47:11
436,( pas besoin de préciser que c ’ est le rer d ),2020-12-09 18:36:11
437,je déteste le rer d sur ma vie cette ligne c ’ est vraiment de la grosse merde,2020-12-09 18:03:25
438,"pontoise - orly en rer c quand j ' ai revu ma famille , ma femme était habillée en noir et mes enfants m ' appelaient "" monsieur """,2020-12-09 18:02:57
439,prendre le rer d à gare de lyon c un parcours du combattant c quoi tout ce monde rt sloflawless,2020-12-09 17:51:55
440,je sors du taff on me dit y a pas de rer d tchiaaaaa c ’ est pas des lol enft,2020-12-09 17:51:04
441,prendre le rer d à gare de lyon c un parcours du combattant c quoi tout ce monde,2020-12-09 17:50:34
442,pas de rer c et pas de rer d mdr quelle vie,2020-12-09 17:47:24
443,hahahaha je vais devoir prendre le rer a jusqu ' à boissy saint leger pour rentrer chez moi alors que c ' est le bout d …,2020-12-09 17:43:35
444,"nomad brt 13133 , il paraît que c ' est un train grande ligne , d …",2020-12-09 17:42:26
445,le rer d au nom de dieu c ’ est un bail comment y a trop de problèmes,2020-12-09 17:41:59
446,"sncf pas de rer c , la plupart des rer d sont supprimés à juvisy !! on fait comment pour rentrer chez nous rt ludie",2020-12-09 17:37:19
447,"sncf pas de rer c , la plupart des rer d sont supprimés à juvisy !! on fait comment pour rentrer chez nous",2020-12-09 17:35:14
448,"epinay jusqu ’ a après massy , le rer c il était trop lents j ’ ai pris plus de 3h à rentrer rt aqil 934",2020-12-09 17:35:13
449,"epinay jusqu ’ a après massy , le rer c il était trop lents j ’ ai pris plus de 3h à rentrer",2020-12-09 17:33:32
450,le rer d c ’ est trop la,2020-12-09 17:27:48
