;tweet_RER_B;heure_du_tweet
26;ben oui , ton abonnement premium rer b finit par faire des envieux;2020-12-10 20:54:11
27;;2020-12-10 19:45:08
28;transilien …;2020-12-10 17:53:58
29;paris hidalgo …;2020-12-10 17:15:51
30;paris hidalgo …;2020-12-10 17:04:51
31;dites vous thomas il a répondu au sondage d ’ un mec ratp , en « ponctualité du rer b » il a mis 10 / 10 , 0 vanne ce mec dort la nuit;2020-12-10 15:54:30
32;nous avons signalé hier en cm que de blr risquait d ' être déconnectée de la future ligne b du rer v …;2020-12-10 15:40:47
33;paris hidalgo …;2020-12-10 15:38:31
34;r94 hidalgo belliard alors il me semble …;2020-12-10 15:07:54
35;non vraiment si on compte pas les vrai trajet massy chanteloup frere , ligne j , rer a apres rer b pendant les grèves …;2020-12-10 13:57:17
36;je suis dans le rer b je le déteste;2020-12-10 13:53:35
37;asselineau mais c ' est c ' est tout les jours et presque partout antony 92 rer b a 8h15 le quai est plein et le train arrive plein;2020-12-10 12:52:54
38;""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros "" ( via ) …";2020-12-10 12:45:09
39;? - bagage oublié ? jeudi 10 décembre 2020 à 10h51 , en raison d ' un bagage oublié , le trafic est perturbé entre le …;2020-12-10 09:56:08
40;il est 10h38 ça sent le saussiflard dans le rer b;2020-12-10 09:39:11
41;st remy rer …;2020-12-10 08:48:48
42;ouille non , moi ce n ’ est plus que sur le rer b que je conduis désormais . point de vue dégâts ... vaut mieux qu …;2020-12-10 08:40:30
43;la vdm ya encore des problème sur le rer b c le train de l ' enfer jpp;2020-12-10 08:40:15
44;aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition rt isma gir75;2020-12-10 07:59:00
45;aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition;2020-12-10 07:56:55
46;wsh le rer b il est vla pressé ce matin;2020-12-10 07:38:29
47;bonne nouvelle pour le rer b ! rerb;2020-12-10 07:29:46
48;île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …;2020-12-10 07:25:17
49;île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …;2020-12-10 07:25:16
50;moi : il faut que j ' arrive tôt au boulot le rer b : en fait non;2020-12-10 07:11:45
51;si chaque jours y ’ a pas un problème sur le rer d et b les gens meurent ou c ’ est comment vraiment courage ceux qui …;2020-12-10 07:04:52
52;hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électeu …;2020-12-10 06:53:43
53;fr hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électe …;2020-12-10 06:51:38
54;;2020-12-10 06:35:14
55;transports franciliens : de nouvelles rames pour remplacer tous les vieux trains du rer b;2020-12-09 20:03:01
56;""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros (";2020-12-09 19:57:05
57;kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …;2020-12-08 12:50:36
58;bon a cause du rer b , je vais peut être arriver en retard pour le 2eme jours de taff rt link8894;2020-12-08 09:11:38
59;pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .;2020-12-08 07:59:13
60;ah ouais le rer b qui bande de bon matin c ' est carré;2020-12-08 07:59:03
61;bonjour , sur l ’ application sncf il est indiqué qu ’ il y a aucun rer b en circulation . y a t - il bien des port r …;2020-12-08 05:52:09
62;rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …;2020-12-07 20:39:14
63;nowplaying dexter goldberg trio - rer b rer b dexter goldberg trio;2020-12-07 18:43:02
64;ma phobie : rer b châtelet a drancy;2020-12-07 17:31:52
65;rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …;2020-12-07 17:24:26
66;? - signal d ' alarme ? lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …;2020-12-07 17:22:46
67;? en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …;2020-12-07 16:56:45
68;peray julien a ma connaissance si : “ le déraillement d ’ une rame d …;2020-12-07 16:52:50
69;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:49:30
70;m77 peray julien maintenant le rer b en question était visiblement en prov …;2020-12-07 16:47:43
71;azii le rer b c ’ est une glr;2020-12-07 16:45:57
72;m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …;2020-12-07 16:30:33
73;4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …;2020-12-07 16:15:19
