;tweet_RER_D;heure_du_tweet
181;le trafic est interrompu entre auber et nation en raison d ' un bagage oublié à gare de lyon . reprise estimée à 12 : 15 . rera rt rer a;2020-12-08 10:13:40
182;? le trafic est perturbé en direction de marne - la - vallée – chessy • boissy - saint - léger en raison d ' un bagage oublié …;2020-12-08 10:09:32
183;le train actuellement à gare de lyon et en direction de torcy stationne en raison d ' un bagage oublié . rera rt rer a;2020-12-08 09:58:09
184;? - panne de signalisation ? mardi 8 décembre 2020 à 10h45 , en raison d ' une panne de signalisation , le trafic est …;2020-12-08 09:48:50
185;? le trafic est perturbé entre la défense et poissy en raison d ' un incident de signalisation à poissy . rera rt rer a;2020-12-08 09:43:39
186;embrouille entre quartier à corbeil . je me suis retrouvé dans le rer d , avec une dizaine de gars autour de moi et y …;2020-12-08 09:02:46
187;le train actuellement à nanterre – préfecture et en direction de poissy stationne en raison d ' un incident d ' exploitation . rera rt rer a;2020-12-08 08:57:10
188;le train actuellement à achères – ville et en direction de boissy - saint - léger stationne en raison d ' un incident voyageur . rera rt rer a;2020-12-08 08:35:28
189;comment le covid - 19 a boosté le développement du réseau de pistes cyclables en ile - de - france | 5 premières lignes d …;2020-12-08 08:18:01
190;y ’ a une brésilienne qui embrouille son mec dans le rer d c ’ est clairement terrible;2020-12-08 07:53:01
191;dans le rer d;2020-12-08 07:50:49
192;c ’ est incroyable quand même d ’ avoir des rer vides à 8h30;2020-12-08 07:30:28
193;? - panne d ' un train ( 1 ) ? mardi 8 décembre 2020 à 08h06 , en raison d ' un train en panne , le trafic est perturbé d …;2020-12-08 07:09:32
194;? le trafic est perturbé en direction de saint - germain - en - laye en répercussion d ' une panne mécanique à charles de …;2020-12-08 07:02:15
195;a d ’ accord merci . bonne journée milo;2020-12-08 05:52:41
196;;2020-12-08 01:07:43
197;l ’ envoyer bloquer le rer d;2020-12-07 22:51:09
198;le respect de la loi sru , c ' est éviter à une infirmière d ' habiter à des kilomètres de son travail , à …;2020-12-07 22:19:15
199;? sncfvousinforme suite à la chute de la poutre sur les voies du sncf;2020-12-07 22:00:40
200;ce que pense à chaque fois qu ’ il prend le rer d;2020-12-07 20:55:43
201;bref j ' ai atterri y a 1h , et je n ' ai pas quitté cdg , pour un vol intra - ue sans bagage ... râler sur les avions c ' es …;2020-12-07 19:29:52
202;usagersidf transilien …;2020-12-07 19:27:11
203;bonsoir rolah . 72 , non la circulation est interrompue sur cet axe suite à l ' incident du 1er décemb …;2020-12-07 18:04:19
204;le train actuellement à torcy et en direction de marne - la - vallée – chessy stationne en raison de difficultés d ' exploitation . rera rt rer a;2020-12-07 17:51:48
205;rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …;2020-12-07 17:24:26
206;ptdrrrr aller ce sal rer evidemment les seuls arrets qu ' il desservira pas sont exactement ceux que j ' fais , tout ça …;2020-12-07 17:23:09
207;? - signal d ' alarme ? lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …;2020-12-07 17:22:46
208;puré le rer d je peux plus vivement que le rer revienne à la normale;2020-12-07 17:15:43
209;merci pour ce partage je regarderai ça demain ds le rer d;2020-12-07 17:14:10
210;sinon actuellement bagage suspect dans le rer en face de ma voie vive le rer d !;2020-12-07 17:03:56
211;? en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …;2020-12-07 16:56:45
212;peray julien a ma connaissance si : “ le déraillement d ’ une rame d …;2020-12-07 16:52:50
213;les rer c c ’ est de la chiasse 20 min d ’ attende . fuck epinay . rt uzuraa;2020-12-07 16:48:28
214;m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …;2020-12-07 16:30:33
215;nouvelle proposition de : des transports publics écologiques . pour ce faire , rien de mieux que le tran …;2020-12-07 16:19:59
216;4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …;2020-12-07 16:15:19
217;bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …;2020-12-07 16:14:28
218;images . chute d ' une poutre sur les voies du rerc à paris : les voies dégagées en milieu de semaine via;2020-12-07 16:10:49
219;le train actuellement à bussy - saint - georges et en direction de marne - la - vallée – chessy stationne en raison de l ' acti …;2020-12-07 15:30:44
220;mdrrr y ’ a des contrôleurs en civil dans le rer d mnt ??;2020-12-07 15:27:43
221;le rer v est une excellente idée qui aurait déjà marinée d ’ être e …;2020-12-07 15:14:40
222;le calendrier de mise en concurrence des transilien se dévoile . la concurrence a quelques vertus mais on est bien c …;2020-12-07 14:47:52
223;? le trafic est perturbé sur l ' ensemble de la ligne , en raison d ' un incident affectant la voie . rera rt rer a;2020-12-07 14:30:39
224;j ’ ai lu aussi des kilos de rapporte parlementaires ( en ligne et gratuit !), des études soci …;2020-12-07 13:08:49
225;le train actuellement à cergy - préfecture et en direction de boissy - saint - léger stationne en raison d ' une gêne à la …;2020-12-07 12:55:22
226;j ’ viens de voir une daronne se moucher avec conviction dans son masque avant de le remettre , notre rer d a du talent;2020-12-08 16:01:54
227;dites au conducteur du rer à d ’ allumer les lumières wsh cest quoi ça dans les tunnels il fais tous noir;2020-12-08 15:03:02
228;pas de train . le rer a à l ' heure de pointe , j ' avais déjà du mal avant d ' avoir mon permis à …;2020-12-08 14:48:09
229;a demande au mécano d isolé la porte en attendant;2020-12-08 13:47:14
230;bonjour a , il n ' y a pas d ' assistance lorsque l ' on ouvre la porte sur la 1516 d2 , mission zupe actuellement a n …;2020-12-08 13:45:16
231;la 4g comment elle beug dans le rer d;2020-12-08 13:24:27
232;le rer d c ’ est vraiment quelque chose y a un duo qui se roulent un joint sans pression en criant tout fort;2020-12-08 13:16:35
233;a a bon ? comment tu sais que je vis chez mes parents alors ?…;2020-12-08 13:12:13
234;kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …;2020-12-08 12:50:36
235;tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …;2020-12-08 12:11:53
236;tout est mis en œuvre pour dégager les voies du faisceau d ' austerlitz et du rer c et rétablir au plus vite le trafi …;2020-12-08 12:10:48
237;"imaginez ma déception quand , encore jeune étudiant , j ' ai découvert la vraie destination des rer "" nice ' ( d ) et "" bali …";2020-12-08 11:49:39
238;a ok . a houilles / carrières - sur - seine on a dit à une dame qu ' il fallait que la personne se déplace ... c ' est just …;2020-12-08 11:08:26
239;bonjour , en effet , le trafic est perturbé sur l ' ensemble de la ligne , en répercussion notamme …;2020-12-08 11:07:28
240;? le trafic est perturbé sur l ' ensemble de la ligne en raison d ' un incident de signalisation à poissy et d ' un baga …;2020-12-08 10:33:21
241;c ' est déjà noël . le rer vélo imaginé par ( 30 associations dont ) est devenu bien reel . la rég …;2020-12-08 10:31:57
242;le trafic est interrompu entre auber et nation en raison d ' un bagage oublié à gare de lyon . reprise estimée à 12 : 15 . rera rt rer a;2020-12-08 10:13:40
243;? le trafic est perturbé en direction de marne - la - vallée – chessy • boissy - saint - léger en raison d ' un bagage oublié …;2020-12-08 10:09:32
244;le train actuellement à gare de lyon et en direction de torcy stationne en raison d ' un bagage oublié . rera rt rer a;2020-12-08 09:58:09
